value,name,mnemonic,friendlyName,immediete,controlflow,pop,push,comment
102,f64_ge,f64.ge,ge_f64,,,"[""Float64"",""Float64""]","[""Int32""]",
103,i32_clz,i32.clz,clz_i32,,,"[""Int32""]","[""Int32""]",
104,i32_ctz,i32.ctz,ctz_i32,,,"[""Int32""]","[""Int32""]",
105,i32_popcnt,i32.popcnt,popcnt_i32,,,"[""Int32""]","[""Int32""]",
106,i32_add,i32.add,add_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
107,i32_sub,i32.sub,sub_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
108,i32_mul,i32.mul,mul_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
109,i32_div_s,i32.div_s,div_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
110,i32_div_u,i32.div_u,div_i32_u,,,"[""Int32"",""Int32""]","[""Int32""]",
111,i32_rem_s,i32.rem_s,rem_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
112,i32_rem_u,i32.rem_u,rem_i32_u,,,"[""Int32"",""Int32""]","[""Int32""]",
113,i32_and,i32.and,and_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
114,i32_or,i32.or,or_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
115,i32_xor,i32.xor,xor_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
116,i32_shl,i32.shl,shl_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
117,i32_shr_s,i32.shr_s,shr_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
118,i32_shr_u,i32.shr_u,shr_i32_u,,,"[""Int32"",""Int32""]","[""Int32""]",
119,i32_rotl,i32.rotl,rotl_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
120,i32_rotr,i32.rotr,rotr_i32,,,"[""Int32"",""Int32""]","[""Int32""]",
121,i64_clz,i64.clz,clz_i64,,,"[""Int64""]","[""Int64""]",
122,i64_ctz,i64.ctz,ctz_i64,,,"[""Int64""]","[""Int64""]",
123,i64_popcnt,i64.popcnt,popcnt_i64,,,"[""Int64""]","[""Int64""]",
124,i64_add,i64.add,add_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
125,i64_sub,i64.sub,sub_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
126,i64_mul,i64.mul,mul_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
127,i64_div_s,i64.div_s,div_i64,,,"[""Int64"",""Int64""]","[""Int64""]",
128,i64_div_u,i64.div_u,div_i64_u,,,"[""Int64"",""Int64""]","[""Int64""]",
